Date,Kp_12-15UTC,Kp_daily_mean,Kp_daily_max,n_bins
2025-06-11,2.333,2.958,4.667,8
2025-06-12,3.667,4.083,5.333,8
2025-06-13,6.0,5.625,6.667,8
2025-06-14,3.0,3.375,5.333,8
2025-06-15,2.0,2.125,3.000,8
2025-06-16,2.0,2.208,3.667,8
2025-06-17,2.333,2.000,2.333,8
2025-06-18,3.333,2.708,3.333,8
2025-06-19,1.333,2.083,4.333,8
2025-06-20,2.333,2.083,3.000,8
2025-06-21,2.667,2.167,3.333,8
2025-06-22,2.333,2.292,3.333,8
2025-06-23,1.667,1.458,2.667,8
2025-06-24,2.333,1.833,2.667,8
2025-06-25,3.0,2.375,4.333,8
2025-06-26,4.333,4.042,5.333,8
2025-06-27,3.0,3.250,5.000,8
2025-06-28,2.0,2.083,3.333,8
2025-06-29,1.667,1.833,2.333,8
2025-06-30,1.667,2.458,3.000,8
2025-07-01,0.333,1.292,3.333,8
2025-07-02,2.333,1.625,2.333,8
2025-07-03,4.0,2.917,4.000,8
2025-07-04,1.0,2.042,3.667,8
2025-07-05,4.0,3.125,4.000,8
2025-07-06,3.0,3.458,5.000,8
2025-07-07,3.0,3.333,5.000,8
2025-07-08,2.0,2.542,3.333,8
2025-07-09,1.667,1.708,2.667,8
2025-07-10,0.333,0.625,1.000,8
2025-07-11,3.0,3.083,4.333,8
2025-07-12,3.0,2.625,3.000,8
2025-07-13,4.0,3.542,4.333,8
2025-07-14,3.0,2.667,4.333,8
2025-07-15,3.0,3.125,4.667,8
2025-07-16,1.667,2.917,4.667,8
2025-07-17,3.667,3.292,4.000,8
2025-07-18,4.0,2.208,4.000,8
2025-07-19,1.667,1.625,2.667,8
2025-07-20,1.667,1.208,1.667,8
2025-07-21,1.0,0.708,1.333,8
2025-07-22,1.667,2.292,4.667,8
2025-07-23,4.667,3.917,4.667,8
2025-07-24,3.0,2.958,3.667,8
2025-07-25,2.0,2.083,2.667,8
2025-07-26,3.0,2.250,3.667,8
2025-07-27,0.333,0.833,1.333,8
2025-07-28,1.333,1.375,2.333,8
2025-07-29,0.667,1.625,2.667,8
2025-07-30,2.333,1.792,3.000,8
2025-07-31,2.333,2.167,3.000,8
2025-08-01,3.0,2.500,3.333,8
2025-08-02,1.667,2.042,3.000,8
2025-08-03,1.667,1.917,4.000,8
2025-08-04,2.0,1.833,2.333,8
2025-08-05,2.667,2.125,3.000,8
2025-08-06,1.0,1.500,2.667,8
2025-08-07,0.667,0.708,1.000,8
2025-08-08,4.667,2.833,5.000,8
2025-08-09,5.0,4.708,5.667,8
2025-08-10,3.0,3.500,4.333,8
2025-08-11,3.333,3.083,4.333,8
2025-08-12,3.0,2.750,4.000,8
2025-08-13,2.667,2.708,3.333,8
2025-08-14,2.0,2.208,3.333,8
2025-08-15,1.333,1.667,2.333,8
2025-08-16,1.0,1.125,1.667,8
2025-08-17,1.667,0.958,1.667,8
2025-08-18,2.333,1.458,3.000,8
2025-08-19,4.0,3.208,4.667,8
2025-08-20,1.333,2.583,4.000,8
2025-08-21,1.0,1.667,2.667,8
2025-08-22,1.667,1.792,3.000,8
2025-08-23,1.0,1.292,2.000,8
2025-08-24,1.0,1.250,1.667,8
2025-08-25,3.0,1.625,3.000,8
2025-08-26,1.333,1.708,2.667,8
2025-08-27,2.667,1.667,2.667,8
2025-08-28,1.667,1.667,2.000,8
2025-08-29,1.667,1.542,2.000,8
2025-08-30,1.667,1.708,2.333,8
2025-08-31,1.667,1.708,2.333,8
2025-09-01,1.0,2.000,5.667,8
2025-09-02,3.0,4.167,5.333,8
2025-09-03,1.667,2.208,4.333,8
2025-09-04,2.333,2.042,3.000,8
2025-09-05,1.0,1.500,3.000,8
2025-09-06,4.0,3.625,5.000,8
2025-09-07,0.333,0.583,2.000,8
2025-09-08,3.0,2.667,3.667,8
2025-09-09,2.667,2.875,5.333,8
2025-09-10,2.0,2.125,4.000,8
