Game,Date,N1,N2,N3,N4,N5,N6
Ultra Lotto 6/58,2025-06-13,50,57,12,23,39,5
Ultra Lotto 6/58,2025-06-15,28,52,43,50,2,18
Ultra Lotto 6/58,2025-06-17,45,1,19,9,44,11
Ultra Lotto 6/58,2025-06-20,23,27,51,38,20,22
Ultra Lotto 6/58,2025-06-22,34,54,23,58,15,7
Ultra Lotto 6/58,2025-06-24,30,20,31,12,3,23
Ultra Lotto 6/58,2025-06-27,9,23,57,1,15,39
Ultra Lotto 6/58,2025-06-29,14,36,17,22,34,29
Ultra Lotto 6/58,2025-07-01,34,24,41,48,37,36
Ultra Lotto 6/58,2025-07-04,16,15,57,42,41,47
Ultra Lotto 6/58,2025-07-06,23,35,4,14,15,16
Ultra Lotto 6/58,2025-07-08,24,33,27,7,52,30
Ultra Lotto 6/58,2025-07-11,12,29,41,24,25,38
Ultra Lotto 6/58,2025-07-13,12,57,41,18,33,17
Ultra Lotto 6/58,2025-07-15,22,38,36,8,16,41
Ultra Lotto 6/58,2025-07-18,19,16,1,54,12,46
Ultra Lotto 6/58,2025-07-20,32,20,23,44,39,9
Ultra Lotto 6/58,2025-07-22,42,49,52,27,39,18
Ultra Lotto 6/58,2025-07-25,5,30,19,43,51,50
Ultra Lotto 6/58,2025-07-27,23,40,38,39,50,42
Ultra Lotto 6/58,2025-07-29,5,7,18,28,48,32
Ultra Lotto 6/58,2025-08-01,3,13,7,44,15,10
Ultra Lotto 6/58,2025-08-03,45,46,17,44,37,12
Ultra Lotto 6/58,2025-08-05,50,21,37,22,39,48
Ultra Lotto 6/58,2025-08-08,43,4,52,41,15,6
Ultra Lotto 6/58,2025-08-10,15,47,13,30,57,3
Ultra Lotto 6/58,2025-08-12,14,33,50,57,22,39
Ultra Lotto 6/58,2025-08-15,47,5,34,24,4,7
Ultra Lotto 6/58,2025-08-17,17,26,2,28,57,54
Ultra Lotto 6/58,2025-08-19,15,43,7,40,52,29
Ultra Lotto 6/58,2025-08-22,1,34,44,27,57,16
Ultra Lotto 6/58,2025-08-24,35,29,42,56,43,28
Ultra Lotto 6/58,2025-08-26,31,4,36,35,16,50
Ultra Lotto 6/58,2025-08-29,41,1,19,57,27,11
Ultra Lotto 6/58,2025-08-31,52,43,14,50,18,45
Ultra Lotto 6/58,2025-09-02,36,58,49,22,25,40
Ultra Lotto 6/58,2025-09-05,47,36,19,38,29,20
Ultra Lotto 6/58,2025-09-07,40,54,29,31,50,19
Ultra Lotto 6/58,2025-09-09,23,52,38,31,15,54
Ultra Lotto 6/58,2025-09-12,30,57,27,46,26,22
Ultra Lotto 6/58,2025-09-14,5,17,18,2,45,57
